marque;libelle;grammage;prix;nomMagasin
"
                    La pièce                    ";Laitue ;La pièce;"1
dt
725";carrefour
JOUDA;Tomates fraîches concassées;La boite de 400g;"2
dt
500";carrefour
"
La barquette de 400g ";Oignon rouge en barquette;La barquette de 400g;"4
dt
600";carrefour
"
                    Au Kg                    ";Piment de Cayenne vert;Au Kg;"10
dt
700";carrefour
"
                    Au Kg                    ";Petit pois;Au Kg;"5
dt
405";carrefour
"
                    Au Kg                    ";Ail;Au Kg;"13
dt
225";carrefour
"
Au Kg ";Fenouil avec fane;Au Kg;"2
dt
415";carrefour
"
                    La botte                    ";Persil;La botte;"0
dt
790";carrefour
"
                    La boite de 250g                    ";Pois chiche fins;La boite de 250g;"4
dt
670";carrefour
"
                    La boite de 400g                    ";Haricots blancs ;La boite de 400g;"4
dt
610";carrefour
"
                    La barquette de 1Kg                    ";Dattes naturelles branchées;La barquette de 1Kg;"12
dt
500";carrefour
"
                    Le pot de 380g                    ";Confiture de fraises;Le pot de 380g;"6
dt
240";carrefour
"
                    Au Kg                    ";Pomme de terre;Au Kg;"1
dt
840";carrefour
"
                    La brique de 1L                    ";Boisson au jus de poire ;La brique de 1L;"3
dt
880";carrefour
CHAHIA;Œufs frais jaune orange+;Le plateau de 30 oeufs;"14
dt
990";carrefour
EL MAZRAA;Œufs frais adhayma EL BRIKA;Le plateau de 30 oeufs;"13
dt
350";carrefour
LA GAZELLE;Chamia aux amandes;La boite de 185g;"4
dt
680";carrefour
ROYAUME DES ABEILLES;Miel de romarin;Le pot de 250g;"9
dt
720";carrefour
ODYSSEE;Saumon fumé aux poivres;La barquette de 50g;"14
dt
300";carrefour
LE PETIT PARIS;Tomates concassées au basilic;La boite de 400g;"2
dt
270";carrefour
DICK;Cuisse de poulet;Au Kg;"16
dt
490";carrefour
AQUALINE;Eau minérale AQUALINE 2L;La bouteille de 2L;"0
dt
840";carrefour
  ;Salade laitue;La pièce;1,350 DT;monoprix
  JOUDA ;Concentré de tomate;400GR;2,590 DT;monoprix
  ;Oignon rebeii;Conditionné par 1KG;1,230 DT/Kg;monoprix
  ;Piment meski primeur;Conditionné par 500g;3,680 DT/Kg;monoprix
  ;Petit pois;Conditionné par 1KG;5,500 DT/Kg;monoprix
  ;Ail rouge sec;le kg;15,000 DT/Kg;monoprix
  ;Tête de fenouil;Conditionné par 1KG;1,590 DT/Kg;monoprix
  ;Persil;La botte;0,400 DT;monoprix
  REFLET ;Pois chiche;200GR;5,340 DT;monoprix
  JARDINS D'EMMA ;Haricots blancs;400GR;4,390 DT;monoprix
  MOON DATES ;Dattes branchées;1kg;13,200 DT;monoprix
  HALWANI ;Confiture;380GR;4,520 DT;monoprix
  ;Pomme de terre nouvelle;Conditionné par 1KG;1,740 DT/Kg;monoprix
  OH ;Nectar;1L;3,800 DT;monoprix
  CHAHIA ;Œufs;30Pièces;18,190 DT;monoprix
  EL MAZRAA ;Œufs;30 pièces;14,700 DT;monoprix
  GAZELLE ;Chamia;185GR;4,290 DT;monoprix
  ;Olives vertes slices;Conditionné par 200g;15,000 DT/Kg;monoprix
  ROYAUME DES ABEILLES ;Miel;250GR;9,150 DT;monoprix
  PETIT PARIS ;Tomate concassée;400GR;2,290 DT;monoprix
  ;Haut de cuisse de poulet;le kg;12,300 DT/Kg;monoprix
  AQUALINE ;Eau minérale;2L;0,650 DT;monoprix
;Salade laitue;La pièce;1,250 DT/ Pièce;geant
CAP BON;Double concentré de tomates;140GR;1,390 DT;geant
;Piment meski;Conditionné par 500g;3,690 DT/ Kg;geant
;Petit pois;Conditionné par 500g;3,800 DT/ Kg;geant
;Ail rouge sec importé;Conditionné par 300g;14,490 DT/ Kg;geant
;Tête de fenouil;Conditionné par 500g;1,980 DT/ Kg;geant
;Persil;La botte;0,370 DT/ Pièce;geant
;Petit pois;Conditionné par 500g;3,800 DT/ Kg;geant
CAP D'OR;Haricot blanc;380GR;2,860 DT;geant
HERO;Confiture;340GR Fraise;7,820 DT;geant
;Pomme de terre nouvelle;Conditionné par 500g;1,490 DT/ Kg;geant
OH;Boisson au jus;25CL Banane orange;1,190 DT;geant
GAZELLE;Chamia;185GR Nature-tahina;4,090 DT;geant
ROYAUME DES ABEILLES;Miel;250GR Thym;9,150 DT;geant
SOTRAPA;Olives vertes meski grosses;Conditionné par 100g;8,900 DT/ Kg;geant
;Haut de cuisse de poulet;Conditionné par 500g EN CAISSETTE;13,540 DT/ Kg;geant
SOFPINCE;Balai;Dimension : 29x5.1x11.2cm;"4
dt
560";carrefour
SOFPINCE;Raclette Royale grand modèle;Dimensions : 50.2x2x10.1cm;"4
dt
400";carrefour
FINO;Lessive en poudre rose;Le sachet de 300g;"1
dt
360";carrefour
